sample,cpu_usage,active_workers
530,50,5
531,50,5
532,50,5
533,50,5
534,50,5
535,50,5
536,100,5
537,100,5
538,100,5
539,100,5
540,100,5
541,100,5
542,100,5
543,100,5
544,100,5
545,100,5
546,100,5
547,100,5
548,100,5
549,100,5
550,100,5
551,100,5
552,100,5
553,100,5
554,100,5
555,75,5
556,75,5
557,75,5
558,75,5
559,75,5
560,75,5
561,75,5
562,75,5
563,75,5
564,75,5
565,75,5
566,75,5
567,75,5
568,75,5
569,75,5
570,75,5
571,75,5
572,75,5
573,75,5
574,75,5
575,50,5
576,50,5
577,50,5
578,50,5
579,50,5
580,50,5
581,50,5
582,50,5
583,50,5
584,50,5
585,50,5
586,50,5
587,50,5
588,50,5
589,50,5
590,50,5
591,50,5
592,50,5
593,50,5
594,50,5
595,75,5
596,75,5
597,75,5
598,75,5
599,75,5
600,75,5
601,75,5
602,75,5
603,75,5
604,75,5
605,75,5
606,75,5
607,75,5
608,75,5
609,75,5
610,75,5
611,75,5
612,75,5
613,75,5
614,100,5
615,100,5
616,100,5
617,100,5
618,100,5
619,100,5
620,100,5
621,100,5
622,100,5
623,100,5
624,100,5
625,100,5
626,100,5
627,100,5
628,100,5
629,100,5
630,100,5
631,100,5
632,100,5
633,100,5
634,100,5
635,100,5
636,100,5
637,100,5
638,100,5
639,100,5
640,100,5
641,100,5
642,100,5
643,100,5
644,100,5
645,100,5
646,100,5
647,100,5
648,100,5
649,100,5
650,100,5
651,100,5
652,100,5
653,100,5
654,100,5
655,100,5
656,100,5
657,100,5
658,100,5
659,100,5
660,100,5
661,100,5
662,100,5
663,100,5
664,100,5
665,100,5
666,100,5
667,100,5
668,100,5
669,100,5
670,100,5
671,100,5
672,100,5
673,75,5
674,75,5
675,75,5
676,75,5
677,75,5
678,75,5
679,75,5
680,75,5
681,75,5
682,75,5
683,75,5
684,75,5
685,75,5
686,75,5
687,75,5
688,75,5
689,75,5
690,75,5
691,75,5
692,75,5
693,75,5
694,75,5
695,75,5
696,75,5
697,75,5
698,75,5
699,75,5
700,75,5
701,75,5
702,75,5
703,75,5
704,75,5
705,75,5
706,75,5
707,75,5
708,75,5
709,75,5
710,75,5
711,75,5
712,75,5
713,100,5
714,100,5
715,100,5
716,100,5
717,100,5
718,100,5
719,100,5
720,100,5
721,100,5
722,100,5
723,100,5
724,100,5
725,100,5
726,100,5
727,100,5
728,100,5
729,100,5
730,100,5
731,100,5
732,75,5
733,75,5
734,75,5
735,75,5
736,75,5
737,75,5
738,75,5
739,75,5
740,75,5
741,75,5
742,75,5
743,75,5
744,75,5
745,75,5
746,75,5
747,75,5
748,75,5
749,75,5
750,75,5
751,75,5
752,100,5
753,100,5
754,100,5
755,100,5
756,100,5
757,100,5
758,100,5
759,100,5
760,100,5
761,100,5
762,100,5
763,100,5
764,100,5
765,100,5
766,100,5
767,100,5
768,100,5
769,100,5
770,100,5
771,100,5
772,70,2
773,70,2
774,70,2
775,70,2
776,70,2
777,70,2
778,70,2
779,70,2
780,70,2
781,70,2
782,70,2
783,70,2
784,70,2
785,70,2
786,70,2
787,70,2
788,70,2
789,70,2
790,70,2
791,100,5
792,75,5
793,75,5
794,75,5
795,75,5
796,75,5
797,75,5
798,75,5
799,75,5
800,75,5
801,75,5
802,75,5
803,75,5
804,75,5
805,75,5
806,75,5
807,75,5
808,75,5
809,75,5
810,75,5
811,100,5
812,100,5
813,100,5
814,100,5
815,100,5
816,100,5
817,100,5
818,100,5
819,100,5
820,100,5
